scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
362,83.2,-5.146949852365243,-11.781009005870128,3.136354520281904,-11.7,5.769565,1.570796,18.73406293821338,1.565558520281904,1790.302368466831,56,-10.884733333333335,48,0.0007971160069776802,0.9997447714616082,2910,0.9997447714616082,0,0.9997447714616082,2910,16,2.7530298880249346e-26,2915,0.0,0
364,83.8,-5.104725359206896,-11.779876251802119,3.117948583531642,-11.7,5.978261,1.570796,18.94331244110519,1.5471525835316418,509.0164533868929,56,-13.727613333333332,941,0.007604645157111408,0.9994351731172719,2909,0.9994351757931292,0,0.9994351757931292,2910,16,1.7562557026516667e-55,2915,0.0,0
366,84.4,-5.314383199764961,-11.785064194948504,-3.0946563357669996,-11.7,6.186957,1.570796,19.072746203709684,1.6177329714125863,245.49589042741158,56,-16.138840000000002,365,0.012524157614868938,0.999626275966907,2910,0.999626275966907,0,0.999626275966907,2910,16,2.449701544721094e-130,2959,0.0,0
368,85.0,-5.526896871091801,-11.793116748657612,-3.105721476020696,-11.7,6.395652,1.570796,19.2077721465109,1.6066678311588902,2622.4867859871483,56,-8.668800000000001,25,0.0004419523445699655,0.9991814706756172,2910,0.9991814706756172,0,0.9991814706756172,2910,16,2.8094175798364893e-115,2961,0.0,0
370,85.6,-5.734647804885238,-11.798243369430015,-3.1144391641172384,-11.7,6.604348,1.570796,19.34530423441256,1.597950143062348,2164.143179548841,56,-8.942933333333334,25,0.0005763918028445656,0.9995288618682098,2910,0.9995288618682098,0,0.9995288618682098,2910,16,9.654387260799964e-219,2958,0.0,0
372,86.2,-5.943117437836819,-11.802573604156752,-3.1192543370445907,-11.7,6.813043,1.570796,19.485452994156823,1.5931349701349957,1872.061203481675,56,-9.081293333333333,25,0.0006914825967620353,0.9997550693014507,2910,0.9997550693014507,0,0.9997550693014507,2910,16,1.665085443606e-312,2955,0.0,0
374,86.8,-6.158710062515095,-11.812863707075408,-3.094430057324959,-11.7,7.021739,1.570796,19.632833552613942,1.617959249854627,1227.0979012452756,56,-10.832326666666667,594,0.0016543574398228107,0.9999987102896831,2910,0.9999987102896831,0,0.9999987102896831,2910,16,0.0,2943,0.0,0
376,87.4,-6.3664566785941625,-11.81892141867366,-3.104629796212995,-11.7,7.230435,1.570796,19.78192772019391,1.6077595109665916,2493.7682009591244,56,-9.10026,3,0.00047256041223854567,0.9999999999999185,2911,0.9999999999999185,0,0.9999999999999185,2911,16,7.068995461582629e-36,2914,0.0,0
378,88.0,-7.0323093144967785,-11.84640700356843,-3.0708647598255103,-11.7,7.43913,1.570796,19.842360591712385,1.6415245473540756,19.96044375590441,56,-27.860746666666667,2215,0.13436634513116824,1.0,2911,1.0,0,1.0,2911,16,7.502757276166663e-117,2926,0.0,0
380,88.6,-7.353241129340429,-11.873082180825243,-3.0844502721346942,-11.7,7.647826,1.570796,19.999004197306117,1.6279390350448921,385.72379414440974,56,-15.816046666666667,708,0.015541354068109095,1.0,2911,1.0,0,1.0,2911,16,3.0118564096884106e-80,2936,0.0,0
382,89.2,-7.641766238142716,-11.892586868648184,-3.089756000710987,-11.7,7.856522,1.570796,20.16175990263739,1.6226333064685987,580.8207792164702,56,-14.86848,995,0.009283015610276724,0.9999999999984934,2910,0.9999999999984934,0,0.9999999999984934,2910,16,3.4916529083810132e-205,2976,0.0,0
