scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
70,18.4,-4.0836924609257395,11.75920472332516,3.0833443598333727,-5.330769,-11.7,0.0,23.49232824019771,3.0833443598333727,1931.758269035585,72,-14.552645833333333,1359,0.0021369353654955834,1.0,5880,1.0,0,1.0,5880,1.0,1.0,0,2,0.0,5946,2.271787108489823e-208,2
71,18.6,-4.1447973039201305,11.761773703136246,3.1129127044023837,-5.261538,-11.7,0.0,23.48833614966067,3.1129127044023837,2534.9393750879963,72,-15.265979166666666,8,0.0005744340796132556,1.0,5880,1.0,0,1.0,5880,1.0,1.0,0,2,1.749464171240114e-105,5890,0.0,0
72,18.8,-4.1847765037082265,11.763552586923147,-3.0985949418716063,-5.192308,-11.7,0.0,23.48517446635915,3.0985949418716063,317.57349800010024,72,-22.451989583333333,4849,0.010750313983942137,1.0,5880,1.0,0,1.0,5880,1.0,1.0,0,2,1.0750313983942164e-302,5951,0.0,0
73,19.0,-4.255529826977488,11.760921703136605,-3.1209736749222716,-5.123077,-11.7,0.0,23.476956473489608,3.1209736749222716,3624.490717776352,72,-13.053182291666667,4,0.0003477196726725642,0.9999995338044261,5880,0.9999995338044261,0,0.9999995338044261,5880,0.9999995338044261,0.9999995338044261,0,2,5.310872938404002e-163,5920,0.0,0
74,19.2,-4.330962486484209,11.759564432061834,-3.0852110019277146,-5.053846,-11.7,0.0,23.470699263468344,3.0852110019277146,1476.094472235476,72,-14.443760416666667,867,0.0022215693156153143,0.9999999999736409,5880,0.9999999999736409,0,0.9999999999736409,5880,0.9999999999736409,0.9999999999736409,0,2,0.0,5923,0.0,0
75,19.4,-4.390843447392754,11.756374008333498,-3.1157561524022896,-4.984615,-11.7,0.0,23.46388813209586,3.1157561524022896,2629.444895144719,72,-15.828869791666667,13,0.0005368601137927099,0.9998975384542427,5881,0.9998975384542427,0,0.9998975384542427,5882,0.9998975384542427,0.9998975384542427,0,2,5.368601137927099e-304,5957,0.0,0
76,19.6,-4.458451791477643,11.755220915359192,-3.129696614525373,-4.915385,-11.7,0.0,23.45967127104201,3.129696614525373,4244.6956745922835,72,-13.765109375,0,0.00028147900044348385,0.9998897712396349,5879,0.9998897712396349,0,0.9998897712396349,5879,0.9998897712396349,0.9998897712396349,0,2,7.712748313441717e-186,5929,0.0,0
77,19.8,-4.519116172618072,11.75591028240903,3.100741395790807,-4.846154,-11.7,0.0,23.458190060551566,3.100741395790807,644.4020832259175,72,-20.326010416666666,1240,0.004418575250961466,0.999995842879772,5879,0.999995842879772,0,0.999995842879772,5879,0.999995842879772,0.999995842879772,0,2,0.0,5962,0.0,0
78,20.0,-4.588362396653952,11.75770420793696,3.1218628936791246,-4.776923,-11.7,0.0,23.45846205121294,3.1218628936791246,3933.7827948090653,72,-12.25853125,5,0.00032194687518793215,0.9999461830025735,5880,0.9999461830025735,0,0.9999461830025735,5880,0.9999461830025735,0.9999461830025735,0,2,3.9671638941130744e-05,4520,3.9671638941130744e-05,1
79,20.2,-4.6616415440788925,11.75854098007693,3.1315047227281267,-4.707692,-11.7,0.0,23.458586179871098,3.1315047227281267,2925.9592249158836,72,-12.757864583333333,5,0.0004602364862081185,0.9999754773715418,5880,0.9999754773715418,0,0.9999754773715418,5880,0.9999754773715418,0.9999754773715418,0,2,2.291382540422906e-05,3917,2.291382540422906e-05,1
80,20.4,-4.731970694338668,11.758849116254257,3.1393047567640826,-4.638462,-11.7,0.0,23.45903548177333,3.1393047567640826,4769.117126689463,72,-12.71775,1,0.0002395228092396805,0.9999999992364916,5882,0.9999999992364916,0,0.9999999992364916,5882,0.9999999992364916,0.9999999992364916,0,2,9.032866303803164e-179,5928,0.0,0
81,20.6,-4.677053613870127,11.757846558217427,-3.0928482338577923,-4.569231,-11.7,0.0,23.458094357064365,3.0928482338577923,662.1078759139518,72,-17.385921875,4862,0.004074249721441579,1.0,5882,1.0,0,1.0,5881,1.0,1.0,0,2,0.0,5923,0.0,0
