scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
758,201.9,11.978015701514803,6.160859551622437,1.5422479735573216,-2.561538,-12.0,0.0,23.264037514863766,1.5422479735573216,567.5073502018258,56,-14.02414,1989,0.006007397205271565,0.9999999999962705,2910,0.9999999999962705,0,0.9999999999962705,2910,0.9999999999962705,0.9999999999962705,0,11,1.7012495219858696e-72,2914,0.0,0
760,202.5,11.983361919733367,6.363453444506394,1.5673155035162532,-2.353846,-12.0,0.0,23.297466672198908,1.5673155035162532,327.23146740898665,56,-14.72088,103,0.016715586115661256,0.9999999948866622,2910,0.9999999948866622,0,0.9999999948866622,2910,0.9999999948866622,0.9999999948866622,0,11,2.1301925438656472e-119,2957,0.0,0
762,203.1,11.987180377075422,6.2956692885611165,1.578489639014327,-2.146154,-12.0,0.0,23.1188809272988,1.578489639014327,919.3028565135858,56,-12.96576,1292,0.002727440364808847,0.9990359467852571,2910,0.9990359467852571,0,0.9990359467852571,2910,0.9990359467852571,0.9990359467852571,0,11,7.349707052521987e-77,2935,0.0,0
764,203.7,11.986454905705683,6.427529764553428,1.579757862271684,-1.938462,-12.0,0.0,23.097124584118916,1.579757862271684,1288.7585623279308,56,-12.219626666666667,1258,0.0029872167723814817,0.9944564236101676,2907,0.9944564236101676,0,0.9944564236101676,2907,0.9944564236101676,0.9944564236101676,0,11,1.7507842419161472e-129,2965,0.0,0
766,204.3,11.984932563403621,6.596501688579821,1.578163016516446,-1.730769,-12.0,0.0,23.107365588264376,1.578163016516446,1881.7194430393754,56,-9.78294,206,0.0012673584284412349,0.989807387769233,2893,0.989807387769233,0,0.989807387769233,2893,0.989807387769233,0.989807387769233,0,11,1.186436900265268e-109,2961,1.186436900265268e-109,1
768,204.9,11.982116430709324,6.695996992320838,1.5793532876836436,-1.523077,-12.0,0.0,23.063619688542907,1.5793532876836436,27.818823253075998,56,-16.132406666666665,2991,0.09892024890639405,0.6030275732586036,17,0.39697242674139566,0,0.39697242674139566,2893,0.6030275732586036,0.39697242674139566,1,11,6.0597765694559454e-207,2957,6.0597765694559454e-207,1
770,205.5,11.981316548798564,6.804270067175036,1.5839815734630616,-1.315385,-12.0,0.0,23.030476435303658,1.5839815734630616,1469.7863678959566,56,-11.914566666666666,1681,0.0012477954166810873,0.9984041836827576,1758,0.0015951396752575935,0,0.0015951396752575935,1153,0.8007158784706806,0.19928378320832663,2,11,2.1488409425143872e-221,2990,0.0,0
772,206.1,11.965803335469971,7.057616134845332,1.5574945413906067,-1.107692,-12.0,0.0,23.11079862379646,1.5574945413906067,2420.0440591398556,56,-9.44054666666667,763,0.0007490650355736241,0.9999976283520083,2906,2.371635437218038e-06,0,2.371635437218038e-06,4,0.8671431284311232,0.1328566460173635,3,11,2.7459378967068147e-80,2945,2.7459378967068147e-80,1
774,206.7,11.96920418908569,7.2284144871352725,1.5434024866452232,-0.9,-12.0,0.0,23.137595816105318,1.5434024866452232,1691.1590769589186,56,-9.88728666666667,732,0.0015400398690101967,0.9999999954389118,2906,4.561088211053351e-09,0,4.561088211053351e-09,4,0.9003573451830704,0.09964248565329467,4,11,6.109913562182747e-157,2944,6.109913562182747e-157,1
776,207.3,-2.3889618784857607,11.403358513630664,0.02708404449310003,-0.692308,-12.0,0.0,23.464778373147052,0.02708404449310003,1185.477031448396,56,-10.43314,699,0.0025647773436726865,0.9999999999999228,2906,0.9999999999999228,1,7.72013672999316e-14,4,0.9202858761464409,0.07971398852265119,5,12,7.381878539682686e-234,2945,7.381878539682686e-234,1
778,207.9,-2.1760332395866353,11.412386934628824,0.025042166899355282,-0.484615,-12.0,0.0,23.47340532683711,0.025042166899355286,2369.9751715373586,56,-9.340986666666668,373,0.0006715088654913714,0.9999390820901068,2910,0.9999390820901068,0,0.9999390820901068,2910,0.9999390820901068,0.9999390820901068,0,12,4.196674500479752e-62,2929,0.0,0
780,208.5,-1.9605897809208157,11.420269418165349,0.02367726091183507,-0.276923,-12.0,0.0,23.480710241571213,0.02367726091183507,1747.21310173202,56,-9.992533333333334,373,0.0011635196477733634,0.9999883044916149,2910,0.9999883044916149,0,0.9999883044916149,2910,0.9999883044916149,0.9999883044916149,0,12,1.7367249407411426e-127,2930,0.0,0
782,209.1,-1.7503493791026705,11.429049746017215,0.03055272161966441,-0.069231,-12.0,0.0,23.489285451156363,0.030552721619664408,1243.1181113582438,56,-10.73734,419,0.001867273209143111,0.9999994871467471,2910,0.9999994871467471,0,0.9999994871467471,2910,0.9999994871467471,0.9999994871467471,0,12,5.549692437688409e-200,2928,0.0,0
784,209.7,-1.540523478325247,11.437199257476856,0.027085025675383328,0.138462,-12.0,0.0,23.497261569619145,0.027085025675383324,2585.790203211817,56,-10.360653333333335,113,0.0005017058756556663,0.999656902712864,2911,0.999656902712864,0,0.999656902712864,2911,0.999656902712864,0.999656902712864,0,12,3.902259114241315e-77,2938,0.0,0
786,210.3,-1.3363904752364346,11.44825409097804,0.04409243721037872,0.346154,-12.0,0.0,23.508542613829064,0.04409243721037872,1024.0846081752134,56,-12.904833333333332,1585,0.003541777539651157,0.9996519368217656,2911,0.9996519368217656,0,0.9996519368217656,2911,0.9996519368217656,0.9996519368217656,0,12,1.5161911659103692e-139,2936,0.0,0
788,210.9,-1.1310468181668811,11.458492872269005,0.044854802446058835,0.553846,-12.0,0.0,23.518923267169484,0.04485480244605883,1616.048644082838,56,-11.374586666666668,20,0.0009635179615013108,0.999511865427647,2909,0.999511865427647,0,0.999511865427647,2909,0.999511865427647,0.999511865427647,0,12,7.689423239310213e-56,2921,7.689423239310213e-56,1
790,211.5,-0.9196708786330297,11.461344298393215,0.019136914587970066,0.761538,-12.0,0.0,23.521503769558237,0.01913691458797007,1831.8208945042277,56,-10.260760000000001,483,0.000777431706529693,0.9997935178423544,2908,0.9997935178423544,0,0.9997935178423544,2908,0.9997935178423544,0.9997935178423544,0,12,6.752322012712535e-228,2986,6.752322012712535e-228,1
792,212.1,-0.7076777596973209,11.467528438691536,0.014488922189925276,0.969231,-12.0,0.0,23.527365216044608,0.014488922189925276,1433.7762477148021,56,-10.394013333333332,1229,0.0011484181378905625,0.9998744483875383,2909,0.9998744483875383,0,0.9998744483875383,2909,0.9998744483875383,0.9998744483875383,0,12,0.0,2997,0.0,1
794,212.7,-0.5032457848378892,11.472236038889093,0.01321201891493862,1.176923,-12.0,0.0,23.532293381879878,0.01321201891493862,2564.359686841431,56,-8.917166666666667,28,0.0004670219064423424,0.9998129620410455,2910,0.9998129620410455,0,0.9998129620410455,2910,0.9998129620410455,0.9998129620410455,0,12,4.9976606280546085e-154,2975,0.0,0
796,213.3,-0.2967719772660228,11.473621834160285,0.00906746149762485,1.384615,-12.0,0.0,23.533762643922586,0.00906746149762485,2046.1716708750484,56,-9.596913333333333,505,0.0006586018847335811,0.9998559559210778,2910,0.9998559559210778,0,0.9998559559210778,2910,0.9998559559210778,0.9998559559210778,0,12,0.0,3000,0.0,0
798,213.9,-0.10766901334460365,11.475537053736725,0.0048454317629944505,1.592308,-12.0,0.0,23.53700834446183,0.0048454317629944505,1592.542335670259,56,-9.854586666666668,705,0.0009941135577317842,0.9997868808405469,2910,0.9997868808405469,0,0.9997868808405469,2910,0.9997868808405469,0.9997868808405469,0,12,5.807474575400007e-268,2943,5.807474575400007e-268,1
800,214.5,0.041756591216452144,11.476020047163757,0.0032143550503423,1.8,-12.0,0.0,23.541770051110547,0.0032143550503423,2151.4610584374445,56,-9.21832,58,0.0007152710936144139,0.9999999999999994,2910,0.9999999999999994,0,0.9999999999999994,2910,0.9999999999999994,0.9999999999999994,0,12,6.325817329079872e-88,2942,0.0,0
802,215.1,0.1629919148674681,11.477049243479861,0.0004934360028813565,2.007692,-12.0,0.0,23.5494110241608,0.0004934360028813565,966.6443296308082,56,-11.391366666666666,2612,0.0028127004623143517,1.0,2910,1.0,0,1.0,2910,1.0,1.0,0,12,4.1989498342380935e-158,2935,0.0,0
